num_requests,num_vehicles,lambda_val,M_val,mean_percent_serviced,sem_percent_serviced,n_runs,rank,tied_with_best
40,40,40000.0,400000.0,96.66666666666667,0.796819072889596,15,8,True
40,40,10000.0,50000.0,96.33333333333333,0.5909368402852787,15,9,False
40,40,10000.0,100000.0,96.33333333333333,0.7663560447348132,15,10,False
40,40,20000.0,100000.0,96.33333333333333,0.7663560447348138,15,11,False
40,40,10000.0,20000.0,96.0,0.534522483824849,15,12,False
40,40,2500.0,12500.0,95.66666666666667,0.6666666666666667,15,13,False
40,40,5000.0,10000.0,95.66666666666667,0.6666666666666667,15,14,False
40,40,20000.0,200000.0,95.66666666666667,0.6666666666666676,15,15,False
50,50,10000.0,50000.0,97.06666666666666,0.4727494722282228,15,1,True
50,50,40000.0,200000.0,96.8,0.5789974915645968,15,2,True
50,50,10000.0,100000.0,96.53333333333333,0.6609276789675226,15,3,False
50,50,2500.0,5000.0,96.26666666666667,0.4727494722282228,15,4,False
50,50,20000.0,40000.0,96.26666666666667,0.4727494722282229,15,5,False
50,50,5000.0,50000.0,96.0,0.5520524474738839,15,6,False
50,50,10000.0,20000.0,96.0,0.5520524474738833,15,7,False
50,50,20000.0,100000.0,96.0,0.39036002917941354,15,8,False
50,50,5000.0,10000.0,96.0,0.0,15,9,False
50,50,40000.0,80000.0,95.73333333333333,0.472749472228223,15,10,False
50,50,5000.0,25000.0,95.46666666666667,0.5333333333333329,15,11,False
50,50,40000.0,400000.0,95.46666666666667,0.5333333333333331,15,12,False
50,50,20000.0,200000.0,95.46666666666667,0.36340541006359783,15,13,False
50,50,2500.0,25000.0,94.4,0.8552359741197583,15,14,False
50,50,2500.0,12500.0,94.4,0.6531972647421813,15,15,False
60,30,20000.0,40000.0,95.55555555555557,0.7743689471524124,15,1,True
60,30,2500.0,12500.0,95.33333333333333,0.7834262018573397,15,2,True
60,30,2500.0,5000.0,95.11111111111111,0.6396648152257137,15,3,True
60,30,20000.0,200000.0,95.11111111111111,0.7879157870470405,15,4,True
60,30,40000.0,80000.0,95.11111111111111,0.5507730658062732,15,5,True
60,30,5000.0,25000.0,94.8888888888889,0.639664815225714,15,6,True
60,30,2500.0,25000.0,94.66666666666667,0.634126487474231,15,7,False
60,30,10000.0,50000.0,94.66666666666667,0.5443310539518214,15,8,False
60,30,10000.0,20000.0,94.44444444444443,0.7027283689263084,15,9,False
60,30,20000.0,100000.0,94.44444444444443,0.6229021228682113,15,10,False
60,30,5000.0,10000.0,94.22222222222221,0.510904029823212,15,11,False
60,30,40000.0,200000.0,94.22222222222221,0.5109040298232125,15,12,False
60,30,5000.0,50000.0,94.0,0.5819143739626492,15,13,False
60,30,10000.0,100000.0,94.0,0.666666666666669,15,14,False
60,30,40000.0,400000.0,93.55555555555556,0.6875050104034197,15,15,False
60,60,20000.0,200000.0,96.44444444444447,0.6056756834393303,15,1,True
60,60,10000.0,20000.0,96.0,0.48249790963716604,15,2,True
60,60,20000.0,40000.0,95.77777777777779,0.6875050104034218,15,3,False
60,60,40000.0,80000.0,95.77777777777779,0.5109040298232124,15,4,False
60,60,40000.0,400000.0,95.55555555555557,0.4199605255658127,15,5,False
60,60,10000.0,100000.0,95.33333333333333,0.5443310539518205,15,6,False
60,60,40000.0,200000.0,95.33333333333333,0.908513525158999,15,7,False
60,60,2500.0,12500.0,95.11111111111111,0.7879157870470407,15,8,False
60,60,2500.0,25000.0,95.1111111111111,0.5507730658062724,15,9,False
60,60,2500.0,5000.0,94.88888888888889,0.7176288606639588,15,10,False
60,60,10000.0,50000.0,94.88888888888889,0.6396648152257137,15,11,False
60,60,20000.0,100000.0,94.88888888888889,0.5507730658062725,15,12,False
60,60,5000.0,10000.0,94.88888888888889,0.4444444444444503,15,13,False
60,60,5000.0,25000.0,94.66666666666667,0.43643578047198955,15,14,False
60,60,5000.0,50000.0,94.0,0.48249790963716743,15,15,False
70,70,40000.0,400000.0,95.04761904761905,0.5892900089172163,15,1,True
70,70,5000.0,10000.0,95.04761904761904,0.5892900089172158,15,2,True
70,70,5000.0,25000.0,94.85714285714286,0.7481756236662586,15,3,True
70,70,10000.0,20000.0,94.85714285714286,0.6358270174447838,15,4,True
70,70,5000.0,50000.0,94.85714285714285,0.41356963683185405,15,5,True
70,70,2500.0,5000.0,94.47619047619047,0.5892900089172171,15,6,True
